sentence,course,program
"Topic areas include ethics and public policy; gender, race and culture; media arts and society; science and risk communication.",ISLA-123,Interdisciplinary Studies
The way in which interactions between religious traditions shape society at various levels.,RELS-201,Interdisciplinary Studies
Case studies drawn from eastern and western religious traditions during the ancient and modern periods.,RELS-201,Interdisciplinary Studies
"Exploration of interdisciplinary research strategies, theory, and process, including contextualization, perspective taking, and integration.",ISLA-355,Interdisciplinary Studies
Development of knowledge and skills needed to conduct original interdisciplinary research.,ISLA-355,Interdisciplinary Studies
Preparation for senior project or senior portfolio.,ISLA-355,Interdisciplinary Studies
Selection and completion of an interdisciplinary research or creative project that draws upon at least two disciplines.,ISLA-461,Interdisciplinary Studies
"Introduction to theories and research on how genders and sexualities in the US shape and are shaped by historical processes and US institutional formation - specifically social, political, economic, legal, cultural institutions.",HNRS-204,Interdisciplinary Studies
"Emphasis on interlocking systems of gender, sexuality, race and class.",HNRS-204,Interdisciplinary Studies
"Introduction to theories and research on how genders and sexualities in the US shape and are shaped by historical processes and US institutional formation - specifically social, political, economic, legal, cultural institutions.",WGS-201,Interdisciplinary Studies
"Emphasis on interlocking systems of gender, sexuality, race and class.",WGS-201,Interdisciplinary Studies
Reporting lab for the print and digital editions of Mustang News.,JOUR-352,Journalism
Beginning broadcast news writing and reporting for radio and television.,JOUR-333,Journalism
Emphasis on developing news judgment and producing radio newscasts.,JOUR-333,Journalism
Introduction to television studio equipment and procedures.,JOUR-333,Journalism
Lab experience includes writing and reporting live on-air for KCPR.,JOUR-333,Journalism
Theory and application of visual communication in today's media.,JOUR-390,Journalism
"Visual communication's power to inform, educate and persuade.",JOUR-390,Journalism
"Production of visual media across digital, broadcast and print platforms.",JOUR-390,Journalism
Introduction to current practices in American news media with a focus on emerging technologies and traditional print and broadcast operations.,JOUR-102,Journalism
Exploration of changing career opportunities in news and public relations.,JOUR-102,Journalism
Overview of student media organizations and requirements for academic success in journalism.,JOUR-102,Journalism
"Students produce a live 30-minute CPTV newscast per week, or a one-hour KCPR segment that incorporates news, information, talk and entertainment.",JOUR-353,Journalism
"Emphasis on news producing, reporting and announcing skills.",JOUR-353,Journalism
Field experience in management of Cal Poly student media.,JOUR-455,Journalism
"Emphasizes planning, leadership, media integration, goal-setting and measurement.",JOUR-455,Journalism
Intended for students in leadership positions of student media.,JOUR-455,Journalism
"Develop on-air skills in the performance of voice-overs, stand-ups, hosting and the production of televised public service announcements.",JOUR-346,Journalism
Emphasis on the effective use of audio and non-linear video editing techniques as well as broadcast writing.,JOUR-346,Journalism
Directed group study of selected topics.,JOUR-270,Journalism
"Proposing, creating, managing, and implementing public relations campaigns through the student-run agency, Central Coast PRspectives.",JOUR-415,Journalism
Overview of the interaction between mass media and individuals in American society.,COMS-218,Journalism
Drawing on theoretical perspectives from mass communication and psychology to explore how individuals develop a coherent understanding of self within a highly mediated world.,COMS-218,Journalism
The power and influence of media messages and practices.,COMS-218,Journalism
Individual responsibility in an information society.,COMS-218,Journalism
Overview of the interaction between mass media and individuals in American society.,JOUR-218,Journalism
Drawing on theoretical perspectives from mass communication and psychology to explore how individuals develop a coherent understanding of self within a highly mediated world.,JOUR-218,Journalism
The power and influence of media messages and practices.,JOUR-218,Journalism
Individual responsibility in an information society.,JOUR-218,Journalism
"Individual investigation, research, studies, or surveys of selected problems.",JOUR-400,Journalism
"Exploration of emerging technologies and media that influence strategic communication, including public relations and advertising practices.",JOUR-345,Journalism
"Knowledge, insight and analytical skills necessary to create, evaluate, and execute social media campaigns.",JOUR-345,Journalism
"Instruction on electronic news gathering (ENG) that includes advanced news writing, field reporting and editing for broadcast.",JOUR-348,Journalism
"Emphasis on developing research techniques, interviewing skills, responsible and effective non-linear video editing, compelling use of natural sound and professional on-air delivery.",JOUR-348,Journalism
Development of skills needed to plan and conduct internal and external public relations campaigns for corporate and non-profit organizations.,JOUR-413,Journalism
"Includes goal setting, management of resources, budgeting, creation of campaign communications, and outcomes analysis.",JOUR-413,Journalism
Introduction to the techniques of finding stories in data sets and presenting them visually via interactive online displays.,JOUR-350,Journalism
Emphasis on adapting emerging tools for digital storytelling.,JOUR-350,Journalism
"Development of fundamentals pertaining to the technical and aesthetic proficiencies used in video communication for public service, public relations, marketing and advertising.",JOUR-403,Journalism
"All aspects of pitching, planning, production, editing and post-production in addition to historical and regulatory aspects of communication policy and mandates.",JOUR-403,Journalism
"Develop advanced skills in sports reporting and writing for broadcast, web and social media.",JOUR-378,Journalism
Play-by-play.,JOUR-378,Journalism
Job search in sports journalism.,JOUR-378,Journalism
"Concepts and technologies associated with bringing video, still images and audio online.",JOUR-303,Journalism
"Process of web-based audio and video creation, production and publication, from inception to publishing.",JOUR-303,Journalism
"Practice in researching, interviewing and the writing and marketing of both long and short form nonfiction articles for various media outlets.",JOUR-407,Journalism
Analysis of similar work in current distribution.,JOUR-407,Journalism
"Capstone experience that applies principles and tools of print, broadcast and digital journalism and public relations to tell engaging stories across multiple platforms.",JOUR-462,Journalism
"Emphasis on integrating text, video, audio, graphics, search engine optimization and social networking to produce content for digital publication.",JOUR-462,Journalism
Application of techniques on daily basis with media under supervision of department faculty.,JOUR-444,Journalism
Development of skills and knowledge to produce live and recorded radio shows for the campus radio station KCPR-FM.,JOUR-220,Journalism
"Basic station operations, FCC compliance standards, and basic station management.",JOUR-220,Journalism
Editing for print and online publication.,JOUR-334,Journalism
Using the Associated Press style.,JOUR-334,Journalism
"Writing headlines, captions, summaries and other display text.",JOUR-334,Journalism
Repurposing various media content for the web and other formats.,JOUR-334,Journalism
Legal and ethical issues for the editor.,JOUR-334,Journalism
Survey of historical influences in the development of today's journalism.,JOUR-201,Journalism
Contributions of women and minorities to American mass media.,JOUR-201,Journalism
Rise of technology in the communication industry.,JOUR-201,Journalism
"Experience leading to advanced skills in reporting and writing stories about contemporary issues, government and courts.",JOUR-304,Journalism
"Field experience in radio station operations at KCPR-FM, the campus radio station.",JOUR-320,Journalism
"Emphasizes support functions such as recording announcements, planning and carrying out promotions, underwriting, events and other station management duties.",JOUR-320,Journalism
Open only to students on staff at KCPR-FM.,JOUR-320,Journalism
Current issues revolving around the social responsibility of the mass media.,JOUR-402,Journalism
"Role of the public, government, and media in considerations of media accountability.",JOUR-402,Journalism
Professional behavior in media organizations.,JOUR-402,Journalism
Selection and completion of a project under faculty supervision.,JOUR-460,Journalism
Projects typical of problems which graduates must solve in their fields of employment.,JOUR-460,Journalism
Project results are presented in a formal report.,JOUR-460,Journalism
Directed group study of selected topics for advanced students.,JOUR-470,Journalism
Apply the theories and applications of digital journalism to the development and publication of innovative digital content.,JOUR-410,Journalism
Innovation and entrepreneurship in journalism.,JOUR-385,Journalism
Human-centered design.,JOUR-385,Journalism
Business plan development.,JOUR-385,Journalism
Designing content to reach and engage an audience.,JOUR-385,Journalism
Identifying opportunities to create sustainable journalistic enterprises for real-world application in Cal Poly's student-run media organizations.,JOUR-385,Journalism
"Individual investigation, research, studies, or surveys of selected problems.",KINE-400,Kinesiology
"Introduction to individual research, studies, or surveys of selected problems.",KINE-201,Kinesiology
Intended for students in Kinesiology and in Public Health.,KINE-201,Kinesiology
Disciplinary and professional perspectives in Kinesiology and the Kinesiology program at Cal Poly.,KINE-180,Kinesiology
Instructional competencies in the primary components of a group fitness class and individually tailored personal fitness programs.,KINE-459,Kinesiology
"Instructional techniques, professionalism, leadership styles conducive to promoting exercise adherence.",KINE-459,Kinesiology
"Application of basic theory related to human anatomy, motor learning, exercise physiology, training principles and relevant ACSM guidelines.",KINE-459,Kinesiology
Psychological considerations of the coach-athlete relationship and mental preparation of teams and individuals for competition and practice.,KINE-366,Kinesiology
Application of sport psychology principles to develop a psychological skills training program appropriate to enhance performance and well-being in sport or exercise contexts.,KINE-366,Kinesiology
"Application of nutritional and metabolic facts to selected aspects of physical training, diet manipulation and modification in sport, nutritional supplementation and special dietary considerations for the young and old, male and female athletes.",KINE-451,Kinesiology
Projects must be approved by the supervising faculty member.,KINE-460,Kinesiology
Principles of reading and conducting research including contemporary research perspectives in kinesiology.,KINE-319,Kinesiology
Basic and applied research.,KINE-319,Kinesiology
"Quantitative, qualitative, and mixed methods.",KINE-319,Kinesiology
"Personal health with emphasis on healthful behavioral practices including physical fitness, nutrition, psychosocial well-being, alcohol and other drugs, intentional and unintentional injury, reproductive health, infectious and non-infectious diseases.",HLTH-250,Kinesiology
"Personal health with emphasis on healthful behavioral practices including physical fitness, nutrition, psychosocial well-being, alcohol and other drugs, intentional and unintentional injury, reproductive health, infectious and non-infectious diseases.",KINE-250,Kinesiology
Advanced examination of the theories and applied principles of planting design.,LA-349,Landscape Architecture
"Emphasis on connections between art and science in the design of parks, gardens and other landscapes.",LA-349,Landscape Architecture
"Introduction and application of the methods, principles and criteria for landscape implementation.",LA-242,Landscape Architecture
"Encompasses fundamental design and technical decisions common to landscape architectural design and construction projects including the development of concept, design development and working drawings, and construction management process.",LA-242,Landscape Architecture
Design theory and associated concepts as they are related to landscape architecture.,LA-320,Landscape Architecture
Literature research and analysis of completed design projects.,LA-320,Landscape Architecture
"The artists/designers, materials and overall expressions of work are related to the social and economic issues of the time as well as their associations with the other arts and sciences.",LA-320,Landscape Architecture
Exploration of the continuous alteration of the landscape through recorded time and examination of how humankind has influenced this change.,LA-211,Landscape Architecture
"The metaphor of ""garden"" provides understanding for agrarian regions, urban spaces, and vernacular landscapes of the world.",LA-211,Landscape Architecture
Research methods in landscape architecture and proposal writing techniques.,LA-401,Landscape Architecture
Students prepare proposal and strategy for fifth year study in area of concentration.,LA-401,Landscape Architecture
"Issues related to the practice of landscape architecture incorporating processes, procedures and outcomes of professional practice.",LA-370,Landscape Architecture
"Topics include professional ethics, business and legal aspects of the profession, relationships to the client and society, personal goal setting, resume and portfolio preparation.",LA-370,Landscape Architecture
Focus on CAD skills and integration of digital media.,LA-431,Landscape Architecture
"Introduction to the principles, methods and elements of two- and three-dimensional design in order to communicate intended concepts and meanings.",LA-202,Landscape Architecture
"Exploration of the basic design elements including composition, design process and the creation of spatial settings.",LA-202,Landscape Architecture
"Introduction of digital media applications, software and techniques for landscape architects.",LA-171,Landscape Architecture
"Principles, techniques, skills and tools for using digital media in design projects.",LA-171,Landscape Architecture
"Introduction to the properties, uses and inherent qualities of the fundamental materials of landscape architectural concerns and associated construction techniques and processes.",LA-243,Landscape Architecture
"Materials and techniques explored as a source of design ideas, form and expression in landscape architecture.",LA-243,Landscape Architecture
"Overview of design communications for landscape architects incorporating the principles, techniques, skills and tools used in design generation, exploration, review and implementation.",LA-170,Landscape Architecture
Involvement in a work setting related to landscape architecture.,LA-371,Landscape Architecture
Introduction to the profession of landscape architecture and orientation to the department curriculum and learning processes.,LA-101,Landscape Architecture
"Development, exploration and integration of project design and implementation strategies to design and planning projects.",LA-405,Landscape Architecture
"Emphasis on creative and exploratory problem solving, spatial design, project resolution, and graphic communication.",LA-405,Landscape Architecture
"Focus on skills, distinctions and integration of analyzing the cultural landscape, understanding diverse cultural values and assessing personal ethics.",LA-433,Landscape Architecture
"Focus on achieving a high level of professional quality, ethical concern, and legal responsibility in project work.",LA-435,Landscape Architecture
"Focus is on the skills, theories and principles of planting design.",LA-439,Landscape Architecture
"Assessment, exploration and interpretation of cultural values, issues and landscapes to design and planning projects.",LA-404,Landscape Architecture
"Emphasis on observation and inquiry of diverse cultural settings, differences in cultural values and personal ethics in the design process.",LA-404,Landscape Architecture
"Assessment, exploration and integration of landscape ecology, sustainability and environmental planning to design and planning projects.",LA-403,Landscape Architecture
Emphasis on interpretation and application of environmental and ecological issues at a range of design scales.,LA-403,Landscape Architecture
"Comprehensive landscape architectural design and research project showing professional level competency in the integration of design theory, landscape architectural principles and project resolution.",LA-461,Landscape Architecture
"Emphasis on creative resolutions, organization and communication skills and technical abilities in program generation, design process, design and research.",LA-461,Landscape Architecture
"Concepts, theories and techniques related to landscape analysis, ecology, planning and design with an emphasis on landscape assessment, sustainability, land health, environmental protection and restoration, and natural resource management.",LA-220,Landscape Architecture
"Continuation of ideas introduced in LA 202 with the introduction of environmental and visual perception, including three-dimensional site design and landscape architectural design principles.",LA-203,Landscape Architecture
"Spatial design and sequencing of space with concern for human behavioral, environmental and natural site factors and generation of program, concept and design development.",LA-203,Landscape Architecture
"Investigation of the complexities and interrelatedness of culture, environment and ethical decisions.",LA-330,Landscape Architecture
Interpretation of personal and cultural values and ethics in terms of decisions made and behaviors and actions expressed in the built landscape.,LA-330,Landscape Architecture
"Focus on skills, distinctions and integration of traditional and digital media explorations.",LA-436,Landscape Architecture
"Exploration and application of design theory, exploratory design process and form exploration to design and planning projects.",LA-402,Landscape Architecture
Emphasis on incorporation of inquiry techniques based on the synthesis of interdisciplinary frameworks of art and design theory with historical and cultural issues.,LA-402,Landscape Architecture
Design studio with focus on interdisciplinary modes of practice and collaborative approaches to design.,LA-406,Landscape Architecture
Focus on skills and integration of three-dimensional digital media explorations.,LA-437,Landscape Architecture
Focus on understanding and developing a framework for ecological planning and design to anticipate consequences of planning and design decisions.,LA-432,Landscape Architecture
"Continuation of ideas introduced in LA 202 and LA 203 with the introduction of the principles of design theory, landscape ecology and technical applications.",LA-204,Landscape Architecture
"Problems of increasing complexity incorporate critical and creative problem solving, the relationship of aesthetics, response to human needs and design for sustainable environments.",LA-204,Landscape Architecture
"Focus on skills, techniques and decisions of the design, documentation and construction processes.",LA-434,Landscape Architecture
"Introduction and application of the techniques, methods, principles and criteria for site engineering and landform design.",LA-241,Landscape Architecture
Philosophies and ethics of important personalities in twentieth and twenty-first century landscape architecture.,LA-212,Landscape Architecture
"Design theories supporting these individuals' projects and the nature of their practice, combined with the influential events in industry, the arts and sciences, politics, and society of these centuries.",LA-212,Landscape Architecture
Teamwork and leadership in project-based learning.,LAES-302,Liberal Arts and Engineering Studies
"Students lead, build, and maintain project teams; guide the creative process; and use and evaluate the principles of project management in theory and practice.",LAES-302,Liberal Arts and Engineering Studies
Development of a technical proposal suitable for submission to a national design competition seeking innovative solutions to complex technological/social problems.,LAES-302,Liberal Arts and Engineering Studies
"Overview of theatre principles and production practices, including terminology and conventions, methods, dramatic literature and performance, aesthetic appreciation, and technology.",TH-210,Liberal Arts and Engineering Studies
"Emphasis on theatre as an integral cultural, social, and artistic entity.",TH-210,Liberal Arts and Engineering Studies
"Under faculty supervision, the selection and completion of a senior project, demonstrating an interdisciplinary focus in LAES.",LAES-461,Liberal Arts and Engineering Studies
"With one-on-one format with the instructor, individual or small group work through many iterations of the senior project, with occasional showing of works in small student groups.",LAES-461,Liberal Arts and Engineering Studies
Examination of how to define LAES as a new field of study; analysis of the creative process and team building in theory and in application.,LAES-301,Liberal Arts and Engineering Studies
"Researching, writing, revising and presenting a technical proposal suitable for submission to a national design competition seeking innovative solutions to complex technological/social problems.",LAES-301,Liberal Arts and Engineering Studies
The final refinement and completion of LAES senior projects and other projects.,LAES-462,Liberal Arts and Engineering Studies
"In a development workshop format, presentation of final versions of works-in-progress to combined faculty and professional review committees throughout the quarter.",LAES-462,Liberal Arts and Engineering Studies
"Overview of the field of special education, including a historical perspective of special education, special education law, service delivery models, and characteristics of students with variable learning needs.",SPED-420,Liberal Studies
American history since 1900.,HIST-322,Liberal Studies
"Focus on domestic and foreign policy interactions, struggle of disenfranchised groups for social and political equality, and changes in culture and identity.",HIST-322,Liberal Studies
American history since 1900.,HNRS-323,Liberal Studies
"Focus on domestic and foreign policy interactions, struggle of disenfranchised groups for social and political equality, and changes in culture and identity.",HNRS-323,Liberal Studies
Readings in the modern novel in its historical and cultural context.,ENGL-350,Liberal Studies
"Evolution of navigational science from 1700 to today, covering the 'longitude problem' to the Global Positioning System.",ASTR-324,Liberal Studies
"Emphasizes relevant concerns with navigation and timekeeping, including celestial navigation, clocks, and the use of technology, mathematics, and science to address societal problems.",ASTR-324,Liberal Studies
"Modern poetry, considered in its historical and cultural context.",ENGL-351,Liberal Studies
"The rise of experimental styles designed to reflect the disorder of the twentieth century - fragmentation, alienation, dislocation, and the absence of connections.",ENGL-351,Liberal Studies
The historical development of medieval English literature through selected canonical and non-canonical works of various genres.,ENGL-330,Liberal Studies
"Medieval authorship and textual practice, the relationship between gender and writing, and the forging of a national poetic identity.",ENGL-330,Liberal Studies
Interdisciplinary support material (artwork and music) illustrating key themes.,ENGL-330,Liberal Studies
"Plant and animal anatomy, physiology, diversity and life cycles.",BIO-211,Liberal Studies
"How plants and animals acquire nutrients, reproduce, and adapt to environments.",BIO-211,Liberal Studies
The literature of the United States from its sources in the accounts of the early British and Spanish explorers to the works of the American Renaissance.,ENGL-340,Liberal Studies
The relationship between mainstream and marginalized voices in the American character.,ENGL-340,Liberal Studies
"In-depth study of historical, philosophical, and literary reaction to the rise of the modern industrial state.",ENGL-334,Liberal Studies
"Special focus on the literary response to the following:  industry, democracy, class, art, and culture.",ENGL-334,Liberal Studies
"Descriptive astronomical properties of the Sun, stars, galaxies and interstellar material.",ASTR-102,Liberal Studies
Expanding universe and cosmological models.,ASTR-102,Liberal Studies
Opportunities for telescope observations.,ASTR-102,Liberal Studies
"Not open to students who have completed or are taking ASTR 301, ASTR 302, or PHYS 132.",ASTR-102,Liberal Studies
"Theories, methods, materials and assessment involved in the instruction of emergent bilingual students.",EDUC-427,Liberal Studies
"Bilingual, transitional, and English only programs compared across a historical framework.",EDUC-427,Liberal Studies
Emphasis on an integrated language arts approach; theories of language acquisition.,EDUC-427,Liberal Studies
Participation in public schools requires mandated fingerprint clearance.,EDUC-427,Liberal Studies
"Overview of ethical, legal, and historical issues in education; major foundational philosophies in American public education.",LS-301,Liberal Studies
"Career pathways in education, targeted advising, portfolio building and professional goals and opportunities.",LS-301,Liberal Studies
"The writers of the modern period and those of the early post-modern age, including writers marked by stylistic innovation and a willingness to challenge traditionally accepted standards.",ENGL-342,Liberal Studies
"May include such writers as Hemingway, Fitzgerald, Stein, Hughes.",ENGL-342,Liberal Studies
"The writers of the modern period and those of the early post-modern age, including writers marked by stylistic innovation and a willingness to challenge traditionally accepted standards.",HNRS-342,Liberal Studies
"May include such writers as Hemingway, Fitzgerald, Stein, Hughes.",HNRS-342,Liberal Studies
"Introduction to rational and real numbers, probability and counting techniques, statistics, and proportional reasoning.",MATH-328,Liberal Studies
Computer applications.,MATH-328,Liberal Studies
"Health status, special concerns and national health objectives for school aged children; coordinated school health programs and Health Framework for CA public schools .",HLTH-443,Liberal Studies
"Health literacy, nutrition, safety, alcohol, tobacco and other drugs, reproductive health, and chronic disease prevention.",HLTH-443,Liberal Studies
"Health status, special concerns and national health objectives for school aged children; coordinated school health programs and Health Framework for CA public schools .",KINE-443,Liberal Studies
"Health literacy, nutrition, safety, alcohol, tobacco and other drugs, reproductive health, and chronic disease prevention.",KINE-443,Liberal Studies
"The literary, historical, political, religious and scientific concerns of the Age of the Renaissance.",ENGL-331,Liberal Studies
"May include such readings as More's Utopia, Spenser's Faerie Queene, Shakespeare's Othello, Donne's Songs and Sonnets, Milton's Paradise Lost.",ENGL-331,Liberal Studies
"Topics related to content, pedagogy, technology, and assessment for teaching statistics in grades 6-16 in accordance with current standards and research for teaching statistics including the Common Core State Standards for Mathematics.",STAT-410,Liberal Studies
Inquiry approaches to teaching physics incorporating insights from physics education research and the use of computer technology.,PHYS-330,Liberal Studies
"Emphasis on pedagogical approaches and assessment that engage learners in scientific discourse and the development of basic models of physics phenomena such as motion, forces, energy, and momentum through experimentation.",PHYS-330,Liberal Studies
"In-depth study of American fiction, poetry, and drama written since 1956.",ENGL-343,Liberal Studies
How contemporary literature examines enduring American themes and breaks new ground with the inclusion of diverse voices.,ENGL-343,Liberal Studies
"In-depth study of American fiction, poetry, and drama written since 1956.",HNRS-343,Liberal Studies
How contemporary literature examines enduring American themes and breaks new ground with the inclusion of diverse voices.,HNRS-343,Liberal Studies
"Career and academic planning, co-curricular, extra-curricular opportunities, and pathway into a K-8  teaching profession.",LS-201,Liberal Studies
"Academic policies and procedures, goal settings, elements of career in education, and other topics relevant to student and professional success.",LS-201,Liberal Studies
Intended for new students in the Liberal Studies major.,LS-201,Liberal Studies
"Early teaching experience in an informal science, technology, engineering, and mathematics (STEM) teaching and learning environment.",HNRS-302,Liberal Studies
"Principles of inquiry-driven STEM education, lesson design, implementation and assessment.",HNRS-302,Liberal Studies
In-depth exploration of the literature of the British Romantic period.,ENGL-333,Liberal Studies
"Cultural, historical, and philosophic contexts will also be examined in both canonical and non-canonical works.",ENGL-333,Liberal Studies
"May include such writers as Blake, Wordsworth, Keats, and Wollstonecraft.",ENGL-333,Liberal Studies
In-depth exploration of the literature of the British Romantic period.,HNRS-333,Liberal Studies
"Cultural, historical, and philosophic contexts will also be examined in both canonical and non-canonical works.",HNRS-333,Liberal Studies
"May include such writers as Blake, Wordsworth, Keats, and Wollstonecraft.",HNRS-333,Liberal Studies
Qualitative exploration of the key concepts of quantum mechanics and Einstein's special and general theories of relativity.,PHYS-111,Liberal Studies
"Particle-wave duality, Heisenberg's uncertainty principle, Schrodinger's cat, warped spacetime, black holes.",PHYS-111,Liberal Studies
"Introduction to the basic principles of the earth sciences, and applications of these principles in modern society.",PSC-103,Liberal Studies
"Structure and formation of the Earth, earthquakes, weather, and oceanography.",PSC-103,Liberal Studies
Analysis of literary Realism and Naturalism in their cultural and historical contexts.,ENGL-341,Liberal Studies
"May include such writers as Whitman, Dickinson, Twain, Chopin, James, Wharton, Dreiser, Norris, and Crane who are seen to accommodate the sense of danger, doubt, and disorder of the time.",ENGL-341,Liberal Studies
Analysis of literary Realism and Naturalism in their cultural and historical contexts.,HNRS-341,Liberal Studies
"May include such writers as Whitman, Dickinson, Twain, Chopin, James, Wharton, Dreiser, Norris, and Crane who are seen to accommodate the sense of danger, doubt, and disorder of the time.",HNRS-341,Liberal Studies
In-depth exploration of the dominant themes and preoccupations of the Age of Enlightenment.,ENGL-332,Liberal Studies
Historical and cultural contexts of canonical and non-canonical literature emphasized to illustrate 18th century Britons' views of themselves and their changing world.,ENGL-332,Liberal Studies
"May include such writers as Dryden, Behn, Defoe, Swift, Pope, and Johnson.",ENGL-332,Liberal Studies
In-depth exploration of the dominant themes and preoccupations of the Age of Enlightenment.,HNRS-332,Liberal Studies
Historical and cultural contexts of canonical and non-canonical literature emphasized to illustrate 18th century Britons' views of themselves and their changing world.,HNRS-332,Liberal Studies
"May include such writers as Dryden, Behn, Defoe, Swift, Pope, and Johnson.",HNRS-332,Liberal Studies
"Current theory and practice of standards based performing arts with an emphasis on the use of music, theater, media arts and dance, as discrete disciplines with historical and cultural context in the classroom.",LS-370,Liberal Studies
Global history from the beginnings of organized agriculture to the Industrial Revolution.,HIST-210,Liberal Studies
"Focus on causation, using geography and cultural creation to highlight economic, political, social, and intellectual developments of the major civilizations of earth.",HIST-210,Liberal Studies
"Descriptive astronomical properties of the Earth, Moon, other planets and their satellites.",ASTR-101,Liberal Studies
"Comets, asteroids and other members of the Solar System.",ASTR-101,Liberal Studies
Theories of the formation of the Solar System.,ASTR-101,Liberal Studies
Opportunities for telescope observations.,ASTR-101,Liberal Studies
Not open to students who have completed or are taking ASTR 301 or ASTR 302.,ASTR-101,Liberal Studies
Intellectual and cultural history of Europe from the nineteenth century to the present.,HIST-307,Liberal Studies
"Liberalism, radical thought, feminism, evolutionary theory, psycho-analysis, structuralism, existentialism, and postmodernism.",HIST-307,Liberal Studies
"Examination of issues in education of state, national and international concern.",LS-461,Liberal Studies
Students prepare presentations and conduct individual research and analysis of selected problems.,LS-461,Liberal Studies
Analysis and practice of history and social sciences knowledge and skills to facilitate K-8 learning through identifying major themes and questions.,LS-411,Liberal Studies
"The use of inquiry, assessment, curriculum integration, and technology to connect discipline specific content to contemporary social issues.",LS-411,Liberal Studies
Examination of several inter-related environmental issues currently affecting California's Central Coast region.,SCM-360,Liberal Studies
Focuses on the role of technology in creating/mitigating environmental problems.,SCM-360,Liberal Studies
"Movement as it relates to physical motor skill development, fitness, wellness, social development, cross-cultural understanding, and self-image.",KINE-310,Liberal Studies
"Europe's 'long nineteenth century' reveals continuity and dramatic changes in politics, social structures and identities, forms of cultural expression, and scientific and technological knowledge.",HIST-334,Liberal Studies
Topics include the French and Industrial revolutions; liberalism; nationalism; socialism; modernism; imperialism; and World War I.,HIST-334,Liberal Studies
"Europe's 'long nineteenth century' reveals continuity and dramatic changes in politics, social structures and identities, forms of cultural expression, and scientific and technological knowledge.",HNRS-334,Liberal Studies
Topics include the French and Industrial revolutions; liberalism; nationalism; socialism; modernism; imperialism; and World War I.,HNRS-334,Liberal Studies
"Theory, aesthetics, appreciation and applications of visual arts, through multiple two dimensional art strategies, as related to educational processes for the elementary classroom.",LS-211,Liberal Studies
"Focus on elements, principles of design while fostering artistic perception.",LS-211,Liberal Studies
"Introduction to concepts of Euclidean geometry, including shape, visualization and attributes of measurement, with an emphasis on problem solving and critical thinking.",MATH-329,Liberal Studies
Computer applications.,MATH-329,Liberal Studies
Introduction of foundational topics in literacy teaching and learning in K-8 schools with diverse populations.,EDUC-428,Liberal Studies
"Examination of concepts and theories underlying literacy learning and instruction, and relating research-based patterns of reading and writing development to features of the learner and learning environments.",EDUC-428,Liberal Studies
Participation in public schools requires mandated fingerprint clearance.,EDUC-428,Liberal Studies
"Introduction to the basic principles of physical science (observation, description, modeling of physical phenomena) with an emphasis on interactions at the molecular level.",PSC-102,Liberal Studies
"Interactions and the behavior of gases, physical change, and chemical change (including chemical reactions, chemical bonding, and solutions).",PSC-102,Liberal Studies
"Overview of current practices and issues in elementary education, including components of effective teaching, motivating students, diagnostic/prescriptive teaching, curriculum, and accountability.",LS-250,Liberal Studies
Participation in public schools requires fingerprint clearance.,LS-250,Liberal Studies
Algebraic concepts for elementary teachers.,MATH-330,Liberal Studies
"Mathematical patterns, equations and inequalities, linear and quadratic functions, exponential and logarithmic functions, systems of equations, roots of polynomials, factoring of polynomials, and right-triangle trigonometry.",MATH-330,Liberal Studies
Computer applications.,MATH-330,Liberal Studies
"Reading and analysis of world drama of the last 150 years, thereby enhancing student awareness of modern culture, history, ethics, politics, and the human condition.",ENGL-352,Liberal Studies
"Design work, multi-media forms, art, music, and cinema as components or informing elements of the works under consideration.",ENGL-352,Liberal Studies
"Reading and analysis of world drama of the last 150 years, thereby enhancing student awareness of modern culture, history, ethics, politics, and the human condition.",HNRS-352,Liberal Studies
"Design work, multi-media forms, art, music, and cinema as components or informing elements of the works under consideration.",HNRS-352,Liberal Studies
"Culturally diverse children's literature with a focus on analysis and evaluation of literary elements and structures, critical perspectives, trends, and issues.",ENGL-255,Liberal Studies
"A wide range of authors, genres and formats including folktales, fantasy, poetry, informational, historical and realistic fiction books.",ENGL-255,Liberal Studies
"Culturally diverse children's literature with a focus on analysis and evaluation of literary elements and structures, critical perspectives, trends, and issues.",LS-255,Liberal Studies
"A wide range of authors, genres and formats including folktales, fantasy, poetry, informational, historical and realistic fiction books.",LS-255,Liberal Studies
"Introduction to the basic principles of physical science, including observation, description, modeling, and the application of physical phenomena.",PSC-101,Liberal Studies
"Emphasis on interactions as described by energy, forces, and fields for mechanical, thermal, electric, and magnetic systems.",PSC-101,Liberal Studies
Marine organisms and their adaptations to the ocean.,MSCI-111,Liberal Studies
Focus on select marine ecosystems including coastal ecosystems.,MSCI-111,Liberal Studies
Interaction between humans and the sea.,MSCI-111,Liberal Studies
"Topics include effects of ocean acidification and pollution, climate change, and loss of marine biodiversity.",MSCI-111,Liberal Studies
"Introduction to problem solving, set theory, number systems, arithmetic operations, models, and number theory.",MATH-227,Liberal Studies
Other students will be admitted by consent of instructor.,MATH-227,Liberal Studies
"Overview of current practices and issues in elementary education, including teacher compensation, cultural impact on schools, time and classroom management, English learners, and the affective aspect of teaching.",LS-230,Liberal Studies
In-depth exploration of the dominant concerns and achievements of British literature from Modernism through Postmodernism.,ENGL-335,Liberal Studies
